trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
218,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.48695873983847,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
219,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.58110242188351,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
220,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.95408719261705,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
221,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.78440540341626,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
222,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.81652146895872,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
223,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.04517618494279,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
224,False,"{'a': 0.5, 'e': 1.0}",25,8,-48.939037122138224,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 1.0}",20,14,3.7352034226706907,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.10462694425547,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
227,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.2680599714177,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
228,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.63016387213887,"{0: 20, 1: 8, 2: 4, 3: 2, 4: 1}",0
229,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.33191981582823,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
230,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.80382344131598,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
231,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.22088768886505,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
232,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.31913837155075,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
233,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.29434617346848,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
234,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.74497425774493,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
235,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.5370329605535,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
236,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.88276166878376,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.68875804168619,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
238,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.45021620153767,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
239,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.4397176432675,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
240,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.72718626535405,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
241,False,"{'a': 0.5, 'e': 1.0}",25,4,-163.19063618308584,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 2}",1
242,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.32364958319364,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
243,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.6416181995739,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
244,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.49203761863845,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
245,False,"{'a': 0.5, 'e': 1.0}",25,15,-42.51248676135016,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
246,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.91141560586982,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
247,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.21570952408902,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
248,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.5756957176958,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
249,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.39885830834706,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
250,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.61069746907486,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
251,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.12521105413524,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
252,False,"{'a': 0.5, 'e': 1.0}",25,8,-63.00011676000171,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
253,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.485412830822916,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
254,False,"{'a': 0.5, 'e': 1.0}",25,8,-126.72170881036422,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 2}",1
255,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.6400048234969,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
256,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.90846523391412,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.43771982254285,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
258,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.02480322086382,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
259,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.72504679987176,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
260,False,"{'a': 0.5, 'e': 1.0}",25,16,-24.64133705698084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.21915207106886,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
262,False,"{'a': 0.5, 'e': 1.0}",30,12,-142.5800575458241,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 3}",1
263,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.74466142769384,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
264,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.35019500336398,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 0}",0
